"","X","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"1",1,16400,"Íbúðareign",57.7,0,1,1,161,"Fell"
"2",2,27871,"Íbúðareign",72.8,1,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3",3,34592,"Íbúðareign",116.8,0,3,1,700,"Garðarbær: Álftanes"
"4",4,21205,"Einbýlishús",106.8,0,2,1,3000,"Akranes"
"5",5,24243,"Íbúðareign",96,0,3,1,620,"Hafarfjörður: Hvaleyrarholt"
"6",6,21198,"Íbúðareign",102.1,0,2,1,5110,"Sauðárkrókur"
"7",7,47331,"Einbýlishús",205.4,0,5,2,290,"Kjalarnes"
"8",8,11550,"Íbúðareign",43.2,0,1,1,100,"Laugarneshverfi/Vogar"
"9",9,12411,"Einbýlishús",135,0,5,1,2050,"Keflavík"
"10",10,25175,"Íbúðareign",96.2,0,2,1,330,"Kópavogur: Hjallar, Smárar"
"11",11,28256,"Einbýlishús",234.9,0,5,1,3000,"Akranes"
"12",12,23200,"Íbúðareign",89.3,0,2,1,6030,"Akureyri: Efri brekka"
"13",13,22509,"Raðhús",125.9,0,3,1,2040,"Njarðvík"
"14",14,25253,"Íbúðareign",100.3,1,1,1,510,"Garðabær: Sjáland"
"15",15,21181,"Íbúðareign",125.4,0,3,2,680,"Hafnarfjörður - Börð"
"16",16,25694,"Íbúðareign",103.3,0,3,1,340,"Kópavogur: Lindir, Salir"
"17",17,35405,"Íbúðareign",103.9,1,2,1,320,"Kópavogur: Austurbær"
"18",18,60690,"Einbýlishús",201,0,4,1,340,"Kópavogur: Lindir, Salir"
"19",19,86331,"Einbýlishús",316.8,0,5,1,351,"Kópavogur: Kórar"
"20",20,25453,"Íbúðareign",87,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"21",21,30390,"Íbúðareign",110.6,1,2,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"22",22,17493,"Íbúðareign",51.7,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"23",23,10083,"Íbúðareign",60.6,0,1,1,6040,"Akureyri: Glerárhverfi"
"24",24,9821,"Íbúðareign",56.7,0,1,1,6040,"Akureyri: Glerárhverfi"
"25",25,12959,"Íbúðareign",88.3,0,3,1,6040,"Akureyri: Glerárhverfi"
"26",26,43256,"Einbýlishús",155,0,4,1,600,"Hafnarfjörður"
"27",27,20000,"Íbúðareign",73.4,0,1,1,600,"Hafnarfjörður"
"28",28,22360,"Íbúðareign",94.4,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"29",29,25200,"Íbúðareign",87,1,2,1,340,"Kópavogur: Lindir, Salir"
"30",30,17272,"Íbúðareign",53.9,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"31",31,21300,"Íbúðareign",82.3,0,2,1,180,"Grafarholt"
"32",32,25736,"Íbúðareign",90.2,0,3,2,280,"Fossvogur"
"33",33,21472,"Íbúðareign",80.8,0,1,2,90,"Holt/Tún"
"34",34,28796,"Raðhús",125.4,0,4,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"35",35,58085,"Íbúðareign",178.3,2,2,1,90,"Holt/Tún"
"36",36,33495,"Íbúðareign",100.3,1,1,1,510,"Garðabær: Sjáland"
"37",37,39480,"Parhús",163.5,0,4,1,640,"Hafnarfjörður - Ásland"
"38",38,57184,"Íbúðareign",150.6,1,3,1,320,"Kópavogur: Austurbær"
"39",39,20729,"Íbúðareign",86.3,0,2,1,340,"Kópavogur: Lindir, Salir"
"40",40,22373,"Íbúðareign",95.1,0,2,1,340,"Kópavogur: Lindir, Salir"
"41",41,10470,"Íbúðareign",60.4,0,1,1,330,"Kópavogur: Hjallar, Smárar"
"42",42,15445,"Íbúðareign",78.4,0,2,1,320,"Kópavogur: Austurbær"
"43",43,13479,"Íbúðareign",72.2,0,2,1,161,"Fell"
"44",44,17915,"Íbúðareign",92.2,0,2,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"45",45,7760,"Einbýlishús",97.3,0,3,0,6030,"Akureyri: Efri brekka"
"46",46,29186,"Íbúðareign",132.5,0,2,2,283,"Hvassaleiti"
"47",47,45946,"Íbúðareign",155,0,4,2,80,"Hlíðar"
"48",48,21163,"Íbúðareign",88.4,1,2,1,120,"Grafarvogur: Hamrar, Foldir, Hús"
"49",49,17669,"Íbúðareign",92,0,2,2,200,"Árbær"
"50",50,16475,"Íbúðareign",59.8,0,1,1,90,"Holt/Tún"
"51",51,17965,"Íbúðareign",87.6,0,2,1,100,"Laugarneshverfi/Vogar"
"52",52,32231,"Íbúðareign",101.6,2,1,2,75,"Skerjafjörður"
"53",53,9900,"Einbýlishús",77.3,0,3,1,2050,"Keflavík"
"54",54,16465,"Íbúðareign",61.1,0,1,1,500,"Garðabær"
"55",55,51033,"Einbýlishús",185.5,0,3,2,630,"Hafnarfjörður - Vellir"
"56",56,13747,"Íbúðareign",64.9,0,1,1,600,"Hafnarfjörður"
"57",57,23888,"Íbúðareign",102.5,0,3,1,91,"Háaleiti/Skeifa"
"58",58,24698,"Íbúðareign",100.2,1,3,1,72,"Hagar/Melar vestan Hofsvallagötu"
"59",59,18500,"Íbúðareign",90,0,2,1,6080,"Akureyri: Giljahverfi"
"60",60,28176,"Einbýlishús",170.6,0,3,1,8020,"Hveragerði"
"61",61,24974,"Íbúðareign",109.8,1,2,1,810,"Mosfellsbær: Teigar, Krikar"
"62",62,18794,"Íbúðareign",53.2,0,1,2,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"63",63,18999,"Íbúðareign",83.3,0,2,1,6010,"Akureyri: Naustahverfi"
"64",64,19775,"Íbúðareign",97,0,2,1,6010,"Akureyri: Naustahverfi"
"65",65,30441,"Parhús",99.4,0,3,1,700,"Garðarbær: Álftanes"
"66",66,24072,"Íbúðareign",88.8,0,2,1,640,"Hafnarfjörður - Ásland"
"67",67,30296,"Íbúðareign",98.2,1,2,1,511,"Garðabær: Akrahverfi"
"68",68,30899,"Íbúðareign",127.3,1,3,1,351,"Kópavogur: Kórar"
"69",69,66173,"Einbýlishús",184.9,0,3,2,180,"Grafarholt"
"70",70,14596,"Íbúðareign",64.1,0,1,1,170,"Neðra-Breiðholt"
"71",71,32640,"Íbúðareign",121.6,0,3,1,210,"Ártúnsholt/Höfðar"
"72",72,15548,"Íbúðareign",64.4,0,1,2,150,"Seljahverfi"
"73",73,21496,"Íbúðareign",100.8,0,3,1,100,"Laugarneshverfi/Vogar"
"74",74,13190,"Íbúðareign",51.2,0,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"75",75,13989,"Íbúðareign",65,0,1,1,600,"Hafnarfjörður"
"76",76,18590,"Íbúðareign",118.4,0,3,1,620,"Hafarfjörður: Hvaleyrarholt"
"77",77,57261,"Einbýlishús",267.7,0,8,2,320,"Kópavogur: Austurbær"
"78",78,59478,"Einbýlishús",183.9,0,5,2,300,"Kópavogur: Vesturbær"
"79",79,20650,"Einbýlishús",179,0,4,1,7140,"Eskifjörður"
"80",80,114789,"Einbýlishús",269.8,0,6,2,72,"Hagar/Melar vestan Hofsvallagötu"
"81",81,28160,"Íbúðareign",116.6,0,4,1,100,"Laugarneshverfi/Vogar"
"82",82,14807,"Íbúðareign",71.4,1,2,1,160,"Hólar, Berg"
"83",83,22416,"Raðhús",115.3,0,3,1,2040,"Njarðvík"
"84",84,24381,"Íbúðareign",114.2,0,4,1,680,"Hafnarfjörður - Börð"
"85",85,25990,"Íbúðareign",97.7,0,2,1,680,"Hafnarfjörður - Börð"
"86",86,16974,"Íbúðareign",51.7,0,1,1,600,"Hafnarfjörður"
"87",87,21173,"Íbúðareign",64,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"88",88,20586,"Íbúðareign",68.1,0,2,1,91,"Háaleiti/Skeifa"
"89",89,27897,"Einbýlishús",144.3,0,6,2,600,"Hafnarfjörður"
"90",90,34789,"Íbúðareign",114.7,0,3,1,70,"Melar: Að sjó"
"91",91,23472,"Íbúðareign",89.1,0,2,1,110,"Bryggjuhverfi"
"92",92,33706,"Íbúðareign",120.2,1,3,1,640,"Hafnarfjörður - Ásland"
"93",93,16985,"Íbúðareign",82,1,1,1,270,"Norðlingaholt"
"94",94,14207,"Íbúðareign",129.9,0,3,1,3000,"Akranes"
"95",95,18000,"Íbúðareign",82.5,1,2,1,6080,"Akureyri: Giljahverfi"
"96",96,50560,"Einbýlishús",240.5,0,5,1,6030,"Akureyri: Efri brekka"
"97",97,16501,"Íbúðareign",84.1,0,2,1,600,"Hafnarfjörður"
"98",98,36456,"Íbúðareign",106.2,1,2,1,320,"Kópavogur: Austurbær"
"99",99,49944,"Raðhús",189,0,4,2,350,"Kópavogur: Hvörf, Þing"
"100",100,34588,"Íbúðareign",103.5,1,2,1,320,"Kópavogur: Austurbær"
"101",101,24119,"Íbúðareign",104.7,0,3,1,330,"Kópavogur: Hjallar, Smárar"
"102",102,24986,"Raðhús",94,0,3,1,800,"Mosfellsbær"
"103",103,28175,"Íbúðareign",117.1,0,2,1,140,"Grafarvogur: Staðir"
"104",104,28460,"Íbúðareign",117.9,1,3,1,180,"Grafarholt"
"105",105,27950,"Íbúðareign",100.4,1,2,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"106",106,19698,"Íbúðareign",101.6,0,3,2,160,"Hólar, Berg"
"107",107,10211,"Einbýlishús",105.1,0,4,1,4020,"Patreksfjörður"
"108",108,37228,"Íbúðareign",151.8,0,5,1,600,"Hafnarfjörður"
"109",109,45766,"Einbýlishús",202,0,5,2,700,"Garðarbær: Álftanes"
"110",110,43983,"Einbýlishús",187.3,0,4,1,630,"Hafnarfjörður - Vellir"
"111",111,28486,"Íbúðareign",99.2,1,3,1,72,"Hagar/Melar vestan Hofsvallagötu"
"112",112,47320,"Íbúðareign",150,0,3,3,90,"Holt/Tún"
"113",113,24176,"Íbúðareign",100.7,0,3,1,281,"Réttarholt"
"114",114,26394,"Íbúðareign",88.3,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"115",115,4986,"Einbýlishús",206.3,0,6,1,4055,"Vesturbyggð"
"116",116,27591,"Einbýlishús",142.2,0,4,1,2050,"Keflavík"
"117",117,18391,"Einbýlishús",112.8,0,4,1,2020,"Sandgerði"
"118",118,16427,"Íbúðareign",87.2,0,2,1,2040,"Njarðvík"
"119",119,25923,"Einbýlishús",139.6,0,4,1,2030,"Garður"
"120",120,22482,"Íbúðareign",73.3,0,1,1,80,"Hlíðar"
"121",121,16670,"Íbúðareign",64.3,0,2,1,160,"Hólar, Berg"
"122",122,27932,"Íbúðareign",112.9,0,3,2,200,"Árbær"
"123",123,11000,"Einbýlishús",122.3,0,4,1,4140,"Bolungarvík"
"124",124,19546,"Íbúðareign",72.9,0,2,1,600,"Hafnarfjörður"
"125",125,13422,"Íbúðareign",63.1,0,1,1,650,"Hafnarfjörður - Setberg"
"126",126,45597,"Einbýlishús",211,0,5,2,320,"Kópavogur: Austurbær"
"127",127,40423,"Einbýlishús",132.2,0,3,1,500,"Garðabær"
"128",128,35331,"Íbúðareign",168.5,0,2,1,300,"Kópavogur: Vesturbær"
"129",129,17658,"Einbýlishús",89.8,0,3,1,7100,"Fellabær"
"130",130,24573,"Íbúðareign",100.4,0,2,2,91,"Háaleiti/Skeifa"
"131",131,31663,"Íbúðareign",81.4,1,2,1,280,"Fossvogur"
"132",132,14492,"Íbúðareign",58.3,0,1,1,170,"Neðra-Breiðholt"
"133",133,10172,"Raðhús",99.8,0,3,1,6070,"Árskógssandur/Hauganes"
"134",134,21962,"Íbúðareign",103.5,0,3,1,600,"Hafnarfjörður"
"135",135,31091,"Íbúðareign",111,1,2,1,600,"Hafnarfjörður"
"136",136,41313,"Íbúðareign",96.4,0,1,3,31,"Miðbær: Suður-Þingholt"
"137",137,65808,"Einbýlishús",283.7,0,6,4,283,"Hvassaleiti"
"138",138,15795,"Íbúðareign",75.4,0,2,1,100,"Laugarneshverfi/Vogar"
"139",139,22744,"Íbúðareign",75.6,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"140",140,16600,"Íbúðareign",106.4,0,3,1,6030,"Akureyri: Efri brekka"
"141",141,15248,"Íbúðareign",97,0,3,1,6030,"Akureyri: Efri brekka"
"142",142,29445,"Parhús",118.5,0,3,1,2040,"Njarðvík"
"143",143,20500,"Raðhús",134.6,0,3,1,2050,"Keflavík"
"144",144,32155,"Raðhús",106.5,0,3,1,6040,"Akureyri: Glerárhverfi"
"145",145,22923,"Íbúðareign",99.4,0,2,1,6010,"Akureyri: Naustahverfi"
"146",146,10998,"Íbúðareign",56.9,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"147",147,23193,"Íbúðareign",81.6,0,3,1,280,"Fossvogur"
"148",148,27822,"Íbúðareign",124.3,0,4,1,80,"Hlíðar"
"149",149,10486,"Íbúðareign",48.6,0,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"150",150,25124,"Íbúðareign",81.7,0,3,1,70,"Melar: Að sjó"
"151",151,18472,"Íbúðareign",72.7,0,2,1,80,"Hlíðar"
"152",152,17487,"Íbúðareign",55.7,0,1,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"153",153,17169,"Íbúðareign",68,0,2,1,91,"Háaleiti/Skeifa"
"154",154,48978,"Raðhús",180.1,0,3,2,280,"Fossvogur"
"155",155,29993,"Íbúðareign",100,0,2,2,85,"Kringlan"
"156",156,9494,"Íbúðareign",42.6,0,1,1,600,"Hafnarfjörður"
"157",157,37279,"Einbýlishús",114.7,0,3,2,75,"Skerjafjörður"
"158",158,35877,"Einbýlishús",190.6,0,3,2,100,"Laugarneshverfi/Vogar"
"159",159,43105,"Einbýlishús",142,0,5,2,800,"Mosfellsbær"
"160",160,8720,"Einbýlishús",108.1,0,4,1,4140,"Bolungarvík"
"161",161,6720,"Íbúðareign",82,0,2,1,4140,"Bolungarvík"
"162",162,16800,"Íbúðareign",73.7,0,2,1,320,"Kópavogur: Austurbær"
"163",163,25972,"Íbúðareign",90.6,1,2,1,340,"Kópavogur: Lindir, Salir"
"164",164,35400,"Íbúðareign",152.1,0,4,1,330,"Kópavogur: Hjallar, Smárar"
"165",165,7894,"Parhús",69.4,0,1,1,7210,"Höfn"
"166",166,21272,"Íbúðareign",96.6,0,2,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"167",167,24187,"Íbúðareign",127.5,0,3,2,840,"Mosfellsbær: Höfðar, Hlíðar"
"168",168,17405,"Íbúðareign",56.8,0,1,1,70,"Melar: Að sjó"
"169",169,16855,"Íbúðareign",66.3,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"170",170,17195,"Íbúðareign",72.7,0,2,1,320,"Kópavogur: Austurbær"
"171",171,14986,"Íbúðareign",46.2,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"172",172,31484,"Íbúðareign",91.9,0,1,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"173",173,7600,"Íbúðareign",65.9,0,2,1,2040,"Njarðvík"
"174",174,17000,"Íbúðareign",88.6,0,2,1,100,"Laugarneshverfi/Vogar"
"175",175,16051,"Íbúðareign",51.2,0,2,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"176",176,20257,"Íbúðareign",86.2,0,4,1,100,"Laugarneshverfi/Vogar"
"177",177,17786,"Íbúðareign",66.3,0,3,1,100,"Laugarneshverfi/Vogar"
"178",178,25336,"Íbúðareign",86.9,0,2,2,70,"Melar: Að sjó"
"179",179,17491,"Íbúðareign",60.3,0,1,1,100,"Laugarneshverfi/Vogar"
"180",180,21825,"Íbúðareign",101.7,0,3,1,80,"Hlíðar"
"181",181,19381,"Íbúðareign",87.6,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"182",182,22857,"Íbúðareign",93.8,0,2,1,100,"Laugarneshverfi/Vogar"
"183",183,12500,"Íbúðareign",49.6,0,1,1,90,"Holt/Tún"
"184",184,40950,"Parhús",117.7,0,2,2,810,"Mosfellsbær: Teigar, Krikar"
"185",185,37100,"Raðhús",191.2,0,5,2,170,"Neðra-Breiðholt"
"186",186,22140,"Raðhús",112.2,0,4,1,600,"Hafnarfjörður"
"187",187,15960,"Íbúðareign",69.5,0,1,1,700,"Garðarbær: Álftanes"
"188",188,17932,"Íbúðareign",63.4,0,1,1,600,"Hafnarfjörður"
"189",189,20000,"Íbúðareign",83,0,2,1,100,"Laugarneshverfi/Vogar"
"190",190,36415,"Íbúðareign",139.9,0,3,2,80,"Hlíðar"
"191",191,24369,"Íbúðareign",89,0,1,2,90,"Holt/Tún"
"192",192,17042,"Íbúðareign",61.9,0,1,1,400,"Seltjarnarnes"
"193",193,31170,"Íbúðareign",97.5,1,2,1,90,"Holt/Tún"
"194",194,34564,"Íbúðareign",85.3,1,2,1,281,"Réttarholt"
"195",195,25122,"Íbúðareign",94.3,0,3,1,72,"Hagar/Melar vestan Hofsvallagötu"
"196",196,19631,"Einbýlishús",137.7,0,3,1,3015,"Hvalfjarðarsvæði"
"197",197,14250,"Íbúðareign",78.1,0,2,1,320,"Kópavogur: Austurbær"
"198",198,10088,"Einbýlishús",136.9,0,3,1,7035,"Fljótsdalssvæði"
"199",199,12564,"Íbúðareign",55.6,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"200",200,15013,"Íbúðareign",83.2,0,3,1,170,"Neðra-Breiðholt"
"201",201,27817,"Íbúðareign",107,1,3,1,140,"Grafarvogur: Staðir"
"202",202,20823,"Íbúðareign",81.2,0,3,1,280,"Fossvogur"
"203",203,27148,"Íbúðareign",114,1,4,1,72,"Hagar/Melar vestan Hofsvallagötu"
"204",204,21034,"Íbúðareign",73,0,1,1,520,"Garðabær: Ásar"
"205",205,45459,"Einbýlishús",153.7,0,3,2,650,"Hafnarfjörður - Setberg"
"206",206,41507,"Raðhús",184.7,0,4,1,300,"Kópavogur: Vesturbær"
"207",207,38187,"Íbúðareign",135.9,1,2,1,350,"Kópavogur: Hvörf, Þing"
"208",208,26892,"Íbúðareign",111.5,0,2,2,350,"Kópavogur: Hvörf, Þing"
"209",209,25400,"Íbúðareign",79.8,0,3,2,340,"Kópavogur: Lindir, Salir"
"210",210,28330,"Íbúðareign",118.3,2,3,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"211",211,23605,"Íbúðareign",103.2,1,3,1,630,"Hafnarfjörður - Vellir"
"212",212,20076,"Íbúðareign",74,0,2,1,160,"Hólar, Berg"
"213",213,16023,"Íbúðareign",64.7,0,2,1,91,"Háaleiti/Skeifa"
"214",214,26484,"Íbúðareign",110.4,0,4,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"215",215,39780,"Einbýlishús",139.1,0,3,3,120,"Grafarvogur: Hamrar, Foldir, Hús"
"216",216,31993,"Íbúðareign",86,1,2,1,280,"Fossvogur"
"217",217,17182,"Íbúðareign",62.4,0,1,1,11,"Vesturbær: Vestan Bræðraborgarstígs"
"218",218,37360,"Raðhús",157.6,0,1,2,330,"Kópavogur: Hjallar, Smárar"
"219",219,24360,"Íbúðareign",101.5,1,2,1,330,"Kópavogur: Hjallar, Smárar"
"220",220,23573,"Íbúðareign",80.2,0,2,1,320,"Kópavogur: Austurbær"
"221",221,11261,"Íbúðareign",102.5,0,3,1,7140,"Eskifjörður"
"222",222,14820,"Íbúðareign",48.4,0,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"223",223,19753,"Íbúðareign",102.1,0,3,1,6080,"Akureyri: Giljahverfi"
"224",224,25455,"Einbýlishús",161.9,0,5,1,6040,"Akureyri: Glerárhverfi"
"225",225,23115,"Raðhús",147.4,0,5,1,6030,"Akureyri: Efri brekka"
"226",226,34006,"Raðhús",187.4,0,5,1,6040,"Akureyri: Glerárhverfi"
"227",227,17527,"Íbúðareign",83.7,0,2,1,6080,"Akureyri: Giljahverfi"
"228",228,8234,"Íbúðareign",72.2,0,2,1,6140,"Dalvík"
"229",229,7967,"Íbúðareign",78,0,2,1,6140,"Dalvík"
"230",230,20834,"Einbýlishús",104,0,3,1,8200,"Vestmannaeyjar"
"231",231,12500,"Íbúðareign",79.7,0,2,1,8200,"Vestmannaeyjar"
"232",232,23800,"Íbúðareign",63.7,1,1,1,511,"Garðabær: Akrahverfi"
"233",233,44638,"Raðhús",163.3,0,3,2,180,"Grafarholt"
"234",234,21863,"Íbúðareign",87,1,2,1,180,"Grafarholt"
"235",235,21130,"Íbúðareign",86.6,0,2,2,90,"Holt/Tún"
"236",236,14786,"Íbúðareign",50.3,0,1,1,400,"Seltjarnarnes"
"237",237,23000,"Íbúðareign",152.6,0,3,1,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"238",238,17640,"Íbúðareign",100.8,0,2,1,2050,"Keflavík"
"239",239,26529,"Einbýlishús",145.4,0,4,1,2050,"Keflavík"
"240",240,26574,"Íbúðareign",125,0,3,2,620,"Hafarfjörður: Hvaleyrarholt"
"241",241,14490,"Íbúðareign",64,0,1,1,320,"Kópavogur: Austurbær"
"242",242,20624,"Íbúðareign",81.4,1,2,1,350,"Kópavogur: Hvörf, Þing"
"243",243,14900,"Íbúðareign",78.1,0,2,1,320,"Kópavogur: Austurbær"
"244",244,16870,"Íbúðareign",48.1,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"245",245,23886,"Íbúðareign",121.4,0,2,3,100,"Laugarneshverfi/Vogar"
"246",246,18865,"Íbúðareign",76.7,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"247",247,25606,"Íbúðareign",110.6,0,3,1,80,"Hlíðar"
"248",248,17380,"Íbúðareign",66.9,0,3,1,100,"Laugarneshverfi/Vogar"
"249",249,23520,"Íbúðareign",88.7,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"250",250,16392,"Íbúðareign",84.5,0,2,1,600,"Hafnarfjörður"
"251",251,33111,"Íbúðareign",120.5,0,3,1,520,"Garðabær: Ásar"
"252",252,47894,"Einbýlishús",140.5,0,7,1,500,"Garðabær"
"253",253,32666,"Íbúðareign",120.4,1,3,1,511,"Garðabær: Akrahverfi"
"254",254,14150,"Íbúðareign",51.4,0,1,1,600,"Hafnarfjörður"
"255",255,5500,"Íbúðareign",80.4,0,2,1,4170,"Þingeyri"
"256",256,13320,"Íbúðareign",85.7,0,2,1,2040,"Njarðvík"
"257",257,31893,"Raðhús",165.4,0,3,2,630,"Hafnarfjörður - Vellir"
"258",258,26818,"Íbúðareign",106.4,1,4,1,72,"Hagar/Melar vestan Hofsvallagötu"
"259",259,17962,"Íbúðareign",83,0,2,1,220,"Selás"
"260",260,25242,"Íbúðareign",96.9,0,3,1,640,"Hafnarfjörður - Ásland"
"261",261,43267,"Einbýlishús",143.3,0,4,1,600,"Hafnarfjörður"
"262",262,18671,"Íbúðareign",76.3,0,1,1,330,"Kópavogur: Hjallar, Smárar"
"263",263,22074,"Íbúðareign",87.4,0,2,1,330,"Kópavogur: Hjallar, Smárar"
"264",264,25704,"Íbúðareign",99.3,0,2,1,340,"Kópavogur: Lindir, Salir"
"265",265,21441,"Íbúðareign",96.8,0,3,1,100,"Laugarneshverfi/Vogar"
"266",266,32397,"Íbúðareign",141.4,0,4,1,85,"Kringlan"
"267",267,64665,"Parhús",235.8,0,6,2,400,"Seltjarnarnes"
"268",268,43141,"Íbúðareign",154.3,0,3,2,80,"Hlíðar"
"269",269,22542,"Einbýlishús",151.8,0,4,1,7210,"Höfn"
"270",270,9842,"Íbúðareign",45.5,0,1,1,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"271",271,14517,"Einbýlishús",65.9,0,3,1,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"272",272,25952,"Einbýlishús",133.8,0,3,1,2050,"Keflavík"
"273",273,25973,"Íbúðareign",117.3,0,3,1,91,"Háaleiti/Skeifa"
"274",274,6731,"Parhús",107,0,3,1,7020,"Vopnafjörður"
"275",275,29235,"Íbúðareign",157.4,1,4,1,283,"Hvassaleiti"
"276",276,16259,"Íbúðareign",60.2,0,2,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"277",277,23100,"Íbúðareign",110.8,1,3,1,180,"Grafarholt"
"278",278,16570,"Íbúðareign",76,0,2,1,170,"Neðra-Breiðholt"
"279",279,23463,"Íbúðareign",77.5,0,2,1,281,"Réttarholt"
"280",280,44023,"Raðhús",179.1,0,3,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"281",281,17475,"Íbúðareign",89.4,0,3,1,170,"Neðra-Breiðholt"
"282",282,41388,"Raðhús",157.1,0,4,1,800,"Mosfellsbær"
"283",283,35268,"Raðhús",149.5,0,4,2,840,"Mosfellsbær: Höfðar, Hlíðar"
"284",284,21588,"Íbúðareign",90,0,3,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"285",285,14139,"Íbúðareign",93.1,0,2,1,3000,"Akranes"
"286",286,17913,"Íbúðareign",81.2,0,2,1,281,"Réttarholt"
"287",287,16499,"Íbúðareign",60.4,0,2,1,11,"Vesturbær: Vestan Bræðraborgarstígs"
"288",288,12979,"Íbúðareign",49,0,3,1,281,"Réttarholt"
"289",289,21434,"Íbúðareign",103.6,0,3,3,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"290",290,9177,"Íbúðareign",53.3,0,1,1,6030,"Akureyri: Efri brekka"
"291",291,25471,"Íbúðareign",99.7,0,2,1,640,"Hafnarfjörður - Ásland"
"292",292,19376,"Íbúðareign",56.2,1,2,1,11,"Vesturbær: Vestan Bræðraborgarstígs"
"293",293,17995,"Íbúðareign",110.6,0,3,1,170,"Neðra-Breiðholt"
"294",294,23878,"Íbúðareign",116.8,0,3,1,700,"Garðarbær: Álftanes"
"295",295,13085,"Einbýlishús",209.9,0,5,2,7020,"Vopnafjörður"
"296",296,20222,"Íbúðareign",87.2,0,2,1,700,"Garðarbær: Álftanes"
"297",297,22553,"Íbúðareign",68.8,0,2,1,90,"Holt/Tún"
"298",298,16983,"Íbúðareign",91.3,0,1,1,320,"Kópavogur: Austurbær"
"299",299,22541,"Íbúðareign",73,1,2,1,340,"Kópavogur: Lindir, Salir"
"300",300,26387,"Íbúðareign",115.1,0,5,1,680,"Hafnarfjörður - Börð"
"301",301,13500,"Íbúðareign",46.2,0,1,1,100,"Laugarneshverfi/Vogar"
"302",302,34948,"Íbúðareign",129.4,0,3,1,100,"Laugarneshverfi/Vogar"
"303",303,8884,"Íbúðareign",43.4,0,1,1,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"304",304,8296,"Íbúðareign",26.7,0,0,1,72,"Hagar/Melar vestan Hofsvallagötu"
"305",305,22476,"Einbýlishús",81.5,0,2,1,282,"Blesugróf"
"306",306,20113,"Íbúðareign",87.4,0,2,1,330,"Kópavogur: Hjallar, Smárar"
"307",307,16626,"Íbúðareign",62.7,0,1,1,350,"Kópavogur: Hvörf, Þing"
"308",308,50986,"Raðhús",181.7,0,4,2,280,"Fossvogur"
"309",309,20900,"Íbúðareign",101.9,0,3,1,630,"Hafnarfjörður - Vellir"
"310",310,34250,"Raðhús",144.5,0,2,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"311",311,22220,"Íbúðareign",95.2,0,2,1,90,"Holt/Tún"
"312",312,23419,"Íbúðareign",87.4,1,2,1,110,"Bryggjuhverfi"
"313",313,21577,"Parhús",108.4,0,3,1,8020,"Hveragerði"
"314",314,23000,"Einbýlishús",136,0,4,1,2050,"Keflavík"
"315",315,25894,"Íbúðareign",76.9,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"316",316,21165,"Íbúðareign",79.7,1,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
